,timestamp,length,ra
0,2025-05-07 18:52:46.338748,38,f0:57:a6:a6:b6:b6
1,2025-05-07 18:52:46.338820,38,f0:57:a6:a6:b6:b6
2,2025-05-07 18:52:46.345416,38,f0:57:a6:a6:b6:b6
3,2025-05-07 18:52:46.345488,38,f0:57:a6:a6:b6:b6
4,2025-05-07 18:52:46.345631,38,f0:57:a6:a6:b6:b6
5,2025-05-07 18:52:46.345739,80,f0:57:a6:a6:b6:b6
6,2025-05-07 18:52:46.345883,38,f0:57:a6:a6:b6:b6
7,2025-05-07 18:52:46.346218,80,f0:57:a6:a6:b6:b6
8,2025-05-07 18:52:46.470514,38,f0:57:a6:a6:b6:b6
9,2025-05-07 18:52:46.470683,38,f0:57:a6:a6:b6:b6
10,2025-05-07 18:52:46.471369,38,f0:57:a6:a6:b6:b6
11,2025-05-07 18:52:46.472722,38,f0:57:a6:a6:b6:b6
12,2025-05-07 18:52:46.472793,38,f0:57:a6:a6:b6:b6
13,2025-05-07 18:52:46.472936,38,f0:57:a6:a6:b6:b6
14,2025-05-07 18:52:46.473044,80,f0:57:a6:a6:b6:b6
15,2025-05-07 18:52:46.827613,38,f0:57:a6:a6:b6:b6
16,2025-05-07 18:52:46.827698,38,f0:57:a6:a6:b6:b6
17,2025-05-07 18:52:46.881288,38,f0:57:a6:a6:b6:b6
18,2025-05-07 18:52:46.881374,38,f0:57:a6:a6:b6:b6
19,2025-05-07 18:52:47.415099,38,f0:57:a6:a6:b6:b6
20,2025-05-07 18:52:47.415197,38,f0:57:a6:a6:b6:b6
21,2025-05-07 18:52:47.462099,38,f0:57:a6:a6:b6:b6
22,2025-05-07 18:52:47.462197,38,f0:57:a6:a6:b6:b6
23,2025-05-07 18:52:47.476487,38,f0:57:a6:a6:b6:b6
24,2025-05-07 18:52:47.476585,38,f0:57:a6:a6:b6:b6
25,2025-05-07 18:52:47.537218,38,f0:57:a6:a6:b6:b6
26,2025-05-07 18:52:47.537317,38,f0:57:a6:a6:b6:b6
27,2025-05-07 18:52:48.017384,38,f0:57:a6:a6:b6:b6
28,2025-05-07 18:52:48.017703,80,f0:57:a6:a6:b6:b6
29,2025-05-07 18:52:48.074341,38,f0:57:a6:a6:b6:b6
30,2025-05-07 18:52:48.074422,38,f0:57:a6:a6:b6:b6
31,2025-05-07 18:52:48.078487,38,f0:57:a6:a6:b6:b6
32,2025-05-07 18:52:48.079254,38,f0:57:a6:a6:b6:b6
33,2025-05-07 18:52:48.079773,80,f0:57:a6:a6:b6:b6
34,2025-05-07 18:52:48.090256,38,f0:57:a6:a6:b6:b6
35,2025-05-07 18:52:48.090378,80,f0:57:a6:a6:b6:b6
36,2025-05-07 18:52:48.106318,38,f0:57:a6:a6:b6:b6
37,2025-05-07 18:52:48.106994,38,f0:57:a6:a6:b6:b6
38,2025-05-07 18:52:48.107946,38,f0:57:a6:a6:b6:b6
39,2025-05-07 18:52:48.108265,80,f0:57:a6:a6:b6:b6
40,2025-05-07 18:52:48.108863,38,f0:57:a6:a6:b6:b6
41,2025-05-07 18:52:48.109636,38,f0:57:a6:a6:b6:b6
42,2025-05-07 18:52:48.109734,38,f0:57:a6:a6:b6:b6
43,2025-05-07 18:52:48.109929,38,f0:57:a6:a6:b6:b6
