,timestamp,length,ra
0,2025-03-18 16:50:29.870358,28,f0:57:a6:a6:b6:b6
1,2025-03-18 16:50:29.870468,28,f0:57:a6:a6:b6:b6
2,2025-03-18 16:50:29.875592,28,f0:57:a6:a6:b6:b6
3,2025-03-18 16:50:29.875714,28,f0:57:a6:a6:b6:b6
4,2025-03-18 16:50:29.875904,28,f0:57:a6:a6:b6:b6
5,2025-03-18 16:50:29.876030,28,f0:57:a6:a6:b6:b6
6,2025-03-18 16:50:29.885094,28,f0:57:a6:a6:b6:b6
7,2025-03-18 16:50:29.885213,28,f0:57:a6:a6:b6:b6
8,2025-03-18 16:50:29.901422,28,f0:57:a6:a6:b6:b6
9,2025-03-18 16:50:29.901537,28,f0:57:a6:a6:b6:b6
10,2025-03-18 16:50:29.902719,28,f0:57:a6:a6:b6:b6
11,2025-03-18 16:50:29.902840,28,f0:57:a6:a6:b6:b6
12,2025-03-18 16:50:29.916836,28,f0:57:a6:a6:b6:b6
13,2025-03-18 16:50:29.916954,28,f0:57:a6:a6:b6:b6
14,2025-03-18 16:50:29.918800,28,f0:57:a6:a6:b6:b6
15,2025-03-18 16:50:29.918923,28,f0:57:a6:a6:b6:b6
16,2025-03-18 16:50:29.935588,34,f0:57:a6:a6:b6:b6
17,2025-03-18 16:50:29.936160,34,f0:57:a6:a6:b6:b6
18,2025-03-18 16:50:29.936696,28,f0:57:a6:a6:b6:b6
19,2025-03-18 16:50:29.936831,28,f0:57:a6:a6:b6:b6
20,2025-03-18 16:50:29.937154,34,f0:57:a6:a6:b6:b6
21,2025-03-18 16:50:29.938092,28,f0:57:a6:a6:b6:b6
22,2025-03-18 16:50:29.948471,28,f0:57:a6:a6:b6:b6
23,2025-03-18 16:50:29.949706,28,f0:57:a6:a6:b6:b6
24,2025-03-18 16:50:29.949830,28,f0:57:a6:a6:b6:b6
25,2025-03-18 16:50:29.964670,28,f0:57:a6:a6:b6:b6
26,2025-03-18 16:50:29.965027,28,f0:57:a6:a6:b6:b6
27,2025-03-18 16:50:29.965148,28,f0:57:a6:a6:b6:b6
28,2025-03-18 16:50:29.980258,28,f0:57:a6:a6:b6:b6
29,2025-03-18 16:50:29.980659,28,f0:57:a6:a6:b6:b6
30,2025-03-18 16:50:29.981039,28,f0:57:a6:a6:b6:b6
31,2025-03-18 16:50:29.981196,46,f0:57:a6:a6:b6:b6
32,2025-03-18 16:50:29.995335,28,f0:57:a6:a6:b6:b6
33,2025-03-18 16:50:29.995390,28,f0:57:a6:a6:b6:b6
34,2025-03-18 16:50:29.996121,28,f0:57:a6:a6:b6:b6
35,2025-03-18 16:50:29.996235,28,f0:57:a6:a6:b6:b6
36,2025-03-18 16:50:30.010604,28,f0:57:a6:a6:b6:b6
37,2025-03-18 16:50:30.010724,28,f0:57:a6:a6:b6:b6
38,2025-03-18 16:50:30.015133,28,f0:57:a6:a6:b6:b6
39,2025-03-18 16:50:30.015247,28,f0:57:a6:a6:b6:b6
40,2025-03-18 16:50:30.028573,28,f0:57:a6:a6:b6:b6
41,2025-03-18 16:50:30.028693,28,f0:57:a6:a6:b6:b6
42,2025-03-18 16:50:30.028900,28,f0:57:a6:a6:b6:b6
43,2025-03-18 16:50:30.029005,28,f0:57:a6:a6:b6:b6
44,2025-03-18 16:50:30.056041,28,f0:57:a6:a6:b6:b6
45,2025-03-18 16:50:30.056165,28,f0:57:a6:a6:b6:b6
46,2025-03-18 16:50:30.056563,28,f0:57:a6:a6:b6:b6
47,2025-03-18 16:50:30.056670,28,f0:57:a6:a6:b6:b6
48,2025-03-18 16:50:30.079786,28,f0:57:a6:a6:b6:b6
49,2025-03-18 16:50:30.079915,28,f0:57:a6:a6:b6:b6
50,2025-03-18 16:50:30.090680,28,f0:57:a6:a6:b6:b6
51,2025-03-18 16:50:30.090794,28,f0:57:a6:a6:b6:b6
52,2025-03-18 16:50:30.091240,28,f0:57:a6:a6:b6:b6
53,2025-03-18 16:50:30.092786,28,f0:57:a6:a6:b6:b6
54,2025-03-18 16:50:30.092939,46,f0:57:a6:a6:b6:b6
55,2025-03-18 16:50:30.104107,28,f0:57:a6:a6:b6:b6
56,2025-03-18 16:50:30.104252,46,f0:57:a6:a6:b6:b6
57,2025-03-18 16:50:30.106237,28,f0:57:a6:a6:b6:b6
58,2025-03-18 16:50:30.106342,28,f0:57:a6:a6:b6:b6
59,2025-03-18 16:50:30.118576,28,f0:57:a6:a6:b6:b6
60,2025-03-18 16:50:30.118696,28,f0:57:a6:a6:b6:b6
61,2025-03-18 16:50:30.121755,28,f0:57:a6:a6:b6:b6
62,2025-03-18 16:50:30.121870,28,f0:57:a6:a6:b6:b6
63,2025-03-18 16:50:30.134358,28,f0:57:a6:a6:b6:b6
64,2025-03-18 16:50:30.134465,28,f0:57:a6:a6:b6:b6
65,2025-03-18 16:50:30.139125,34,f0:57:a6:a6:b6:b6
66,2025-03-18 16:50:30.140376,28,f0:57:a6:a6:b6:b6
67,2025-03-18 16:50:30.140493,28,f0:57:a6:a6:b6:b6
68,2025-03-18 16:50:30.149882,28,f0:57:a6:a6:b6:b6
69,2025-03-18 16:50:30.149994,28,f0:57:a6:a6:b6:b6
70,2025-03-18 16:50:30.164543,28,f0:57:a6:a6:b6:b6
71,2025-03-18 16:50:30.164644,28,f0:57:a6:a6:b6:b6
72,2025-03-18 16:50:30.170329,28,f0:57:a6:a6:b6:b6
73,2025-03-18 16:50:30.170445,28,f0:57:a6:a6:b6:b6
74,2025-03-18 16:50:30.180619,28,f0:57:a6:a6:b6:b6
75,2025-03-18 16:50:30.180726,28,f0:57:a6:a6:b6:b6
76,2025-03-18 16:50:30.185197,28,f0:57:a6:a6:b6:b6
77,2025-03-18 16:50:30.185854,28,f0:57:a6:a6:b6:b6
78,2025-03-18 16:50:30.185958,28,f0:57:a6:a6:b6:b6
79,2025-03-18 16:50:30.198449,28,f0:57:a6:a6:b6:b6
80,2025-03-18 16:50:30.198559,28,f0:57:a6:a6:b6:b6
81,2025-03-18 16:50:30.200558,28,f0:57:a6:a6:b6:b6
82,2025-03-18 16:50:30.200678,28,f0:57:a6:a6:b6:b6
83,2025-03-18 16:50:30.216485,28,f0:57:a6:a6:b6:b6
84,2025-03-18 16:50:30.216597,28,f0:57:a6:a6:b6:b6
85,2025-03-18 16:50:30.226304,28,f0:57:a6:a6:b6:b6
86,2025-03-18 16:50:30.227149,28,f0:57:a6:a6:b6:b6
87,2025-03-18 16:50:30.227368,28,f0:57:a6:a6:b6:b6
88,2025-03-18 16:50:30.227416,28,f0:57:a6:a6:b6:b6
89,2025-03-18 16:50:30.233229,28,f0:57:a6:a6:b6:b6
90,2025-03-18 16:50:30.233345,28,f0:57:a6:a6:b6:b6
91,2025-03-18 16:50:30.258015,28,f0:57:a6:a6:b6:b6
92,2025-03-18 16:50:30.258132,28,f0:57:a6:a6:b6:b6
93,2025-03-18 16:50:30.258386,28,f0:57:a6:a6:b6:b6
94,2025-03-18 16:50:30.258511,28,f0:57:a6:a6:b6:b6
95,2025-03-18 16:50:30.263645,28,f0:57:a6:a6:b6:b6
96,2025-03-18 16:50:30.263769,28,f0:57:a6:a6:b6:b6
97,2025-03-18 16:50:30.273114,28,f0:57:a6:a6:b6:b6
98,2025-03-18 16:50:30.273229,28,f0:57:a6:a6:b6:b6
99,2025-03-18 16:50:30.279077,34,f0:57:a6:a6:b6:b6
100,2025-03-18 16:50:30.288965,28,f0:57:a6:a6:b6:b6
101,2025-03-18 16:50:30.289236,28,f0:57:a6:a6:b6:b6
102,2025-03-18 16:50:30.290322,28,f0:57:a6:a6:b6:b6
103,2025-03-18 16:50:30.290442,28,f0:57:a6:a6:b6:b6
104,2025-03-18 16:50:30.294700,34,f0:57:a6:a6:b6:b6
105,2025-03-18 16:50:30.295242,34,f0:57:a6:a6:b6:b6
106,2025-03-18 16:50:30.295733,28,f0:57:a6:a6:b6:b6
107,2025-03-18 16:50:30.295854,28,f0:57:a6:a6:b6:b6
108,2025-03-18 16:50:30.304578,28,f0:57:a6:a6:b6:b6
109,2025-03-18 16:50:30.304690,28,f0:57:a6:a6:b6:b6
110,2025-03-18 16:50:30.309211,34,f0:57:a6:a6:b6:b6
111,2025-03-18 16:50:30.310699,34,f0:57:a6:a6:b6:b6
112,2025-03-18 16:50:30.311350,28,f0:57:a6:a6:b6:b6
113,2025-03-18 16:50:30.311436,28,f0:57:a6:a6:b6:b6
114,2025-03-18 16:50:30.321378,28,f0:57:a6:a6:b6:b6
115,2025-03-18 16:50:30.321485,28,f0:57:a6:a6:b6:b6
116,2025-03-18 16:50:30.326049,34,f0:57:a6:a6:b6:b6
117,2025-03-18 16:50:30.326631,34,f0:57:a6:a6:b6:b6
118,2025-03-18 16:50:30.327156,28,f0:57:a6:a6:b6:b6
119,2025-03-18 16:50:30.327269,28,f0:57:a6:a6:b6:b6
120,2025-03-18 16:50:30.335144,28,f0:57:a6:a6:b6:b6
121,2025-03-18 16:50:30.335528,28,f0:57:a6:a6:b6:b6
122,2025-03-18 16:50:30.335649,28,f0:57:a6:a6:b6:b6
123,2025-03-18 16:50:30.340214,34,f0:57:a6:a6:b6:b6
124,2025-03-18 16:50:30.352017,28,f0:57:a6:a6:b6:b6
125,2025-03-18 16:50:30.352255,28,f0:57:a6:a6:b6:b6
126,2025-03-18 16:50:30.353156,28,f0:57:a6:a6:b6:b6
127,2025-03-18 16:50:30.357332,34,f0:57:a6:a6:b6:b6
128,2025-03-18 16:50:30.366502,28,f0:57:a6:a6:b6:b6
129,2025-03-18 16:50:30.372430,34,f0:57:a6:a6:b6:b6
130,2025-03-18 16:50:30.374587,34,f0:57:a6:a6:b6:b6
131,2025-03-18 16:50:30.380450,28,f0:57:a6:a6:b6:b6
132,2025-03-18 16:50:30.380574,28,f0:57:a6:a6:b6:b6
133,2025-03-18 16:50:30.387828,34,f0:57:a6:a6:b6:b6
134,2025-03-18 16:50:30.388154,34,f0:57:a6:a6:b6:b6
135,2025-03-18 16:50:30.388985,34,f0:57:a6:a6:b6:b6
136,2025-03-18 16:50:30.389310,34,f0:57:a6:a6:b6:b6
137,2025-03-18 16:50:30.389718,28,f0:57:a6:a6:b6:b6
138,2025-03-18 16:50:30.390029,28,f0:57:a6:a6:b6:b6
139,2025-03-18 16:50:30.390731,28,f0:57:a6:a6:b6:b6
140,2025-03-18 16:50:30.391350,28,f0:57:a6:a6:b6:b6
141,2025-03-18 16:50:30.391777,28,f0:57:a6:a6:b6:b6
142,2025-03-18 16:50:30.397121,28,f0:57:a6:a6:b6:b6
143,2025-03-18 16:50:30.397255,28,f0:57:a6:a6:b6:b6
144,2025-03-18 16:50:30.397496,28,f0:57:a6:a6:b6:b6
145,2025-03-18 16:50:30.398295,28,f0:57:a6:a6:b6:b6
146,2025-03-18 16:50:30.398404,28,f0:57:a6:a6:b6:b6
147,2025-03-18 16:50:30.405112,34,f0:57:a6:a6:b6:b6
148,2025-03-18 16:50:30.407641,34,f0:57:a6:a6:b6:b6
149,2025-03-18 16:50:30.408348,34,f0:57:a6:a6:b6:b6
150,2025-03-18 16:50:30.408675,34,f0:57:a6:a6:b6:b6
151,2025-03-18 16:50:30.409770,28,f0:57:a6:a6:b6:b6
152,2025-03-18 16:50:30.409880,28,f0:57:a6:a6:b6:b6
153,2025-03-18 16:50:30.411951,28,f0:57:a6:a6:b6:b6
154,2025-03-18 16:50:30.412057,28,f0:57:a6:a6:b6:b6
155,2025-03-18 16:50:30.419114,34,f0:57:a6:a6:b6:b6
156,2025-03-18 16:50:30.419557,34,f0:57:a6:a6:b6:b6
157,2025-03-18 16:50:30.419972,34,f0:57:a6:a6:b6:b6
158,2025-03-18 16:50:30.423763,34,f0:57:a6:a6:b6:b6
159,2025-03-18 16:50:30.424183,34,f0:57:a6:a6:b6:b6
160,2025-03-18 16:50:30.424777,34,f0:57:a6:a6:b6:b6
161,2025-03-18 16:50:30.425307,34,f0:57:a6:a6:b6:b6
162,2025-03-18 16:50:30.427198,46,f0:57:a6:a6:b6:b6
163,2025-03-18 16:50:30.430766,34,f0:57:a6:a6:b6:b6
164,2025-03-18 16:50:30.431077,34,f0:57:a6:a6:b6:b6
165,2025-03-18 16:50:30.431498,34,f0:57:a6:a6:b6:b6
166,2025-03-18 16:50:30.431890,34,f0:57:a6:a6:b6:b6
167,2025-03-18 16:50:30.432214,34,f0:57:a6:a6:b6:b6
168,2025-03-18 16:50:30.433224,34,f0:57:a6:a6:b6:b6
169,2025-03-18 16:50:30.433684,34,f0:57:a6:a6:b6:b6
170,2025-03-18 16:50:30.434428,34,f0:57:a6:a6:b6:b6
171,2025-03-18 16:50:30.439684,34,f0:57:a6:a6:b6:b6
172,2025-03-18 16:50:30.440093,34,f0:57:a6:a6:b6:b6
173,2025-03-18 16:50:30.493046,34,f0:57:a6:a6:b6:b6
174,2025-03-18 16:50:30.493571,34,f0:57:a6:a6:b6:b6
175,2025-03-18 16:50:30.493946,34,f0:57:a6:a6:b6:b6
176,2025-03-18 16:50:30.494479,34,f0:57:a6:a6:b6:b6
177,2025-03-18 16:50:30.495543,28,f0:57:a6:a6:b6:b6
178,2025-03-18 16:50:30.495960,28,f0:57:a6:a6:b6:b6
179,2025-03-18 16:50:30.496164,46,f0:57:a6:a6:b6:b6
180,2025-03-18 16:50:30.501163,34,f0:57:a6:a6:b6:b6
181,2025-03-18 16:50:30.501963,28,f0:57:a6:a6:b6:b6
182,2025-03-18 16:50:30.502068,28,f0:57:a6:a6:b6:b6
183,2025-03-18 16:50:30.502235,34,f0:57:a6:a6:b6:b6
184,2025-03-18 16:50:30.503470,34,f0:57:a6:a6:b6:b6
185,2025-03-18 16:50:30.503705,34,f0:57:a6:a6:b6:b6
186,2025-03-18 16:50:30.505540,28,f0:57:a6:a6:b6:b6
187,2025-03-18 16:50:30.505665,28,f0:57:a6:a6:b6:b6
188,2025-03-18 16:50:30.509568,34,f0:57:a6:a6:b6:b6
189,2025-03-18 16:50:30.514778,34,f0:57:a6:a6:b6:b6
190,2025-03-18 16:50:30.515469,28,f0:57:a6:a6:b6:b6
191,2025-03-18 16:50:30.515575,28,f0:57:a6:a6:b6:b6
