,timestamp,length,ra
0,2025-05-07 16:24:14.096363,28,f0:57:a6:a6:b6:b6
1,2025-05-07 16:24:14.096513,28,f0:57:a6:a6:b6:b6
2,2025-05-07 16:24:14.096831,28,f0:57:a6:a6:b6:b6
3,2025-05-07 16:24:14.096977,28,f0:57:a6:a6:b6:b6
4,2025-05-07 16:24:14.100867,28,f0:57:a6:a6:b6:b6
5,2025-05-07 16:24:14.101047,70,f0:57:a6:a6:b6:b6
6,2025-05-07 16:24:14.101208,28,f0:57:a6:a6:b6:b6
7,2025-05-07 16:24:14.101350,28,f0:57:a6:a6:b6:b6
8,2025-05-07 16:24:14.101521,28,f0:57:a6:a6:b6:b6
9,2025-05-07 16:24:14.101695,70,f0:57:a6:a6:b6:b6
10,2025-05-07 16:24:14.101828,28,f0:57:a6:a6:b6:b6
11,2025-05-07 16:24:14.105327,28,f0:57:a6:a6:b6:b6
12,2025-05-07 16:24:14.105516,70,f0:57:a6:a6:b6:b6
13,2025-05-07 16:24:14.106244,28,f0:57:a6:a6:b6:b6
14,2025-05-07 16:24:14.106392,28,f0:57:a6:a6:b6:b6
15,2025-05-07 16:24:14.110321,28,f0:57:a6:a6:b6:b6
16,2025-05-07 16:24:14.110473,28,f0:57:a6:a6:b6:b6
17,2025-05-07 16:24:14.110649,28,f0:57:a6:a6:b6:b6
18,2025-05-07 16:24:14.110816,70,f0:57:a6:a6:b6:b6
19,2025-05-07 16:24:14.110959,28,f0:57:a6:a6:b6:b6
20,2025-05-07 16:24:14.117326,28,f0:57:a6:a6:b6:b6
21,2025-05-07 16:24:14.117470,70,f0:57:a6:a6:b6:b6
22,2025-05-07 16:24:14.126703,28,f0:57:a6:a6:b6:b6
23,2025-05-07 16:24:14.126838,28,f0:57:a6:a6:b6:b6
24,2025-05-07 16:24:14.126971,28,f0:57:a6:a6:b6:b6
25,2025-05-07 16:24:14.127157,28,f0:57:a6:a6:b6:b6
26,2025-05-07 16:24:14.127317,70,f0:57:a6:a6:b6:b6
27,2025-05-07 16:24:14.133655,28,f0:57:a6:a6:b6:b6
28,2025-05-07 16:24:14.133809,28,f0:57:a6:a6:b6:b6
29,2025-05-07 16:24:14.133989,28,f0:57:a6:a6:b6:b6
30,2025-05-07 16:24:14.134121,28,f0:57:a6:a6:b6:b6
31,2025-05-07 16:24:14.134286,28,f0:57:a6:a6:b6:b6
32,2025-05-07 16:24:14.134439,28,f0:57:a6:a6:b6:b6
33,2025-05-07 16:24:14.134622,28,f0:57:a6:a6:b6:b6
34,2025-05-07 16:24:14.135479,28,f0:57:a6:a6:b6:b6
35,2025-05-07 16:24:14.135659,70,f0:57:a6:a6:b6:b6
36,2025-05-07 16:24:14.135910,28,f0:57:a6:a6:b6:b6
37,2025-05-07 16:24:14.136044,28,f0:57:a6:a6:b6:b6
38,2025-05-07 16:24:14.136236,28,f0:57:a6:a6:b6:b6
39,2025-05-07 16:24:14.136388,28,f0:57:a6:a6:b6:b6
40,2025-05-07 16:24:14.143017,28,f0:57:a6:a6:b6:b6
41,2025-05-07 16:24:14.143172,28,f0:57:a6:a6:b6:b6
42,2025-05-07 16:24:14.146086,28,f0:57:a6:a6:b6:b6
43,2025-05-07 16:24:14.146226,28,f0:57:a6:a6:b6:b6
44,2025-05-07 16:24:14.146388,70,f0:57:a6:a6:b6:b6
45,2025-05-07 16:24:14.147794,28,f0:57:a6:a6:b6:b6
46,2025-05-07 16:24:14.147932,28,f0:57:a6:a6:b6:b6
47,2025-05-07 16:24:14.148065,28,f0:57:a6:a6:b6:b6
48,2025-05-07 16:24:14.152939,28,f0:57:a6:a6:b6:b6
49,2025-05-07 16:24:14.153091,28,f0:57:a6:a6:b6:b6
50,2025-05-07 16:24:14.155162,28,f0:57:a6:a6:b6:b6
51,2025-05-07 16:24:14.155286,28,f0:57:a6:a6:b6:b6
52,2025-05-07 16:24:14.156213,28,f0:57:a6:a6:b6:b6
53,2025-05-07 16:24:14.156369,28,f0:57:a6:a6:b6:b6
54,2025-05-07 16:24:14.160858,28,f0:57:a6:a6:b6:b6
55,2025-05-07 16:24:14.161007,28,f0:57:a6:a6:b6:b6
56,2025-05-07 16:24:14.164145,28,f0:57:a6:a6:b6:b6
57,2025-05-07 16:24:14.164296,28,f0:57:a6:a6:b6:b6
58,2025-05-07 16:24:14.164430,28,f0:57:a6:a6:b6:b6
59,2025-05-07 16:24:14.173206,28,f0:57:a6:a6:b6:b6
60,2025-05-07 16:24:14.173360,28,f0:57:a6:a6:b6:b6
61,2025-05-07 16:24:14.173542,28,f0:57:a6:a6:b6:b6
