,timestamp,length,ra
0,2025-03-18 16:53:59.967340,28,84:1b:77:6b:d5:3c
1,2025-03-18 16:53:59.967363,28,84:1b:77:6b:d5:3c
2,2025-03-18 16:53:59.977659,28,84:1b:77:6b:d5:3c
3,2025-03-18 16:53:59.977797,28,84:1b:77:6b:d5:3c
4,2025-03-18 16:53:59.978249,28,84:1b:77:6b:d5:3c
5,2025-03-18 16:53:59.978387,28,84:1b:77:6b:d5:3c
6,2025-03-18 16:53:59.982152,28,84:1b:77:6b:d5:3c
7,2025-03-18 16:53:59.982292,28,84:1b:77:6b:d5:3c
8,2025-03-18 16:53:59.987420,34,84:1b:77:6b:d5:3c
9,2025-03-18 16:53:59.998132,28,84:1b:77:6b:d5:3c
10,2025-03-18 16:53:59.998232,28,84:1b:77:6b:d5:3c
11,2025-03-18 16:54:00.005406,28,84:1b:77:6b:d5:3c
12,2025-03-18 16:54:00.005531,28,84:1b:77:6b:d5:3c
13,2025-03-18 16:54:00.013705,28,84:1b:77:6b:d5:3c
14,2025-03-18 16:54:00.013763,28,84:1b:77:6b:d5:3c
15,2025-03-18 16:54:00.022217,28,84:1b:77:6b:d5:3c
16,2025-03-18 16:54:00.029296,28,84:1b:77:6b:d5:3c
17,2025-03-18 16:54:00.029426,28,84:1b:77:6b:d5:3c
18,2025-03-18 16:54:00.040149,28,84:1b:77:6b:d5:3c
19,2025-03-18 16:54:00.040276,28,84:1b:77:6b:d5:3c
20,2025-03-18 16:54:00.044896,28,84:1b:77:6b:d5:3c
21,2025-03-18 16:54:00.045044,28,84:1b:77:6b:d5:3c
22,2025-03-18 16:54:00.053823,28,84:1b:77:6b:d5:3c
23,2025-03-18 16:54:00.053958,28,84:1b:77:6b:d5:3c
24,2025-03-18 16:54:00.060195,28,84:1b:77:6b:d5:3c
25,2025-03-18 16:54:00.060339,28,84:1b:77:6b:d5:3c
26,2025-03-18 16:54:00.071870,28,84:1b:77:6b:d5:3c
27,2025-03-18 16:54:00.072009,28,84:1b:77:6b:d5:3c
28,2025-03-18 16:54:00.101108,28,84:1b:77:6b:d5:3c
29,2025-03-18 16:54:00.101236,28,84:1b:77:6b:d5:3c
30,2025-03-18 16:54:00.132700,28,84:1b:77:6b:d5:3c
31,2025-03-18 16:54:00.132906,46,84:1b:77:6b:d5:3c
