,timestamp,length,ra
0,2025-05-07 18:56:50.639998,38,f0:57:a6:a6:b6:b6
1,2025-05-07 18:56:50.640170,38,f0:57:a6:a6:b6:b6
2,2025-05-07 18:56:50.642484,38,f0:57:a6:a6:b6:b6
3,2025-05-07 18:56:50.644793,38,f0:57:a6:a6:b6:b6
4,2025-05-07 18:56:50.644879,38,f0:57:a6:a6:b6:b6
5,2025-05-07 18:56:50.676488,38,f0:57:a6:a6:b6:b6
6,2025-05-07 18:56:50.676978,80,f0:57:a6:a6:b6:b6
7,2025-05-07 18:56:50.677284,38,f0:57:a6:a6:b6:b6
8,2025-05-07 18:56:50.677419,80,f0:57:a6:a6:b6:b6
9,2025-05-07 18:56:51.916848,38,f0:57:a6:a6:b6:b6
10,2025-05-07 18:56:51.917149,80,f0:57:a6:a6:b6:b6
11,2025-05-07 18:56:51.934319,38,f0:57:a6:a6:b6:b6
12,2025-05-07 18:56:51.934610,80,f0:57:a6:a6:b6:b6
13,2025-05-07 18:56:51.934928,38,f0:57:a6:a6:b6:b6
14,2025-05-07 18:56:51.935195,80,f0:57:a6:a6:b6:b6
15,2025-05-07 18:56:51.935366,38,f0:57:a6:a6:b6:b6
16,2025-05-07 18:56:51.935500,80,f0:57:a6:a6:b6:b6
17,2025-05-07 18:56:51.947553,38,f0:57:a6:a6:b6:b6
18,2025-05-07 18:56:51.947639,38,f0:57:a6:a6:b6:b6
19,2025-05-07 18:56:51.972770,38,f0:57:a6:a6:b6:b6
20,2025-05-07 18:56:51.973035,80,f0:57:a6:a6:b6:b6
21,2025-05-07 18:56:51.976861,38,f0:57:a6:a6:b6:b6
22,2025-05-07 18:56:51.977311,80,f0:57:a6:a6:b6:b6
23,2025-05-07 18:56:51.979109,38,f0:57:a6:a6:b6:b6
24,2025-05-07 18:56:51.979243,80,f0:57:a6:a6:b6:b6
25,2025-05-07 18:56:51.991781,38,f0:57:a6:a6:b6:b6
26,2025-05-07 18:56:51.992093,38,f0:57:a6:a6:b6:b6
27,2025-05-07 18:56:51.993532,38,f0:57:a6:a6:b6:b6
28,2025-05-07 18:56:51.993807,80,f0:57:a6:a6:b6:b6
29,2025-05-07 18:56:51.994251,38,f0:57:a6:a6:b6:b6
30,2025-05-07 18:56:51.994336,38,f0:57:a6:a6:b6:b6
31,2025-05-07 18:56:51.994506,38,f0:57:a6:a6:b6:b6
32,2025-05-07 18:56:51.994582,38,f0:57:a6:a6:b6:b6
33,2025-05-07 18:56:51.998621,38,f0:57:a6:a6:b6:b6
34,2025-05-07 18:56:51.999110,80,f0:57:a6:a6:b6:b6
35,2025-05-07 18:56:52.009950,38,f0:57:a6:a6:b6:b6
36,2025-05-07 18:56:52.010355,80,f0:57:a6:a6:b6:b6
37,2025-05-07 18:56:52.010672,38,f0:57:a6:a6:b6:b6
38,2025-05-07 18:56:52.010959,80,f0:57:a6:a6:b6:b6
39,2025-05-07 18:56:52.011406,38,f0:57:a6:a6:b6:b6
40,2025-05-07 18:56:52.011682,80,f0:57:a6:a6:b6:b6
41,2025-05-07 18:56:52.011993,38,f0:57:a6:a6:b6:b6
42,2025-05-07 18:56:52.012258,80,f0:57:a6:a6:b6:b6
43,2025-05-07 18:56:52.012430,38,f0:57:a6:a6:b6:b6
44,2025-05-07 18:56:52.012565,80,f0:57:a6:a6:b6:b6
45,2025-05-07 18:56:52.012738,38,f0:57:a6:a6:b6:b6
46,2025-05-07 18:56:52.012872,80,f0:57:a6:a6:b6:b6
47,2025-05-07 18:56:52.013180,38,f0:57:a6:a6:b6:b6
48,2025-05-07 18:56:52.013265,38,f0:57:a6:a6:b6:b6
49,2025-05-07 18:56:52.013435,38,f0:57:a6:a6:b6:b6
50,2025-05-07 18:56:52.014311,38,f0:57:a6:a6:b6:b6
51,2025-05-07 18:56:52.014396,38,f0:57:a6:a6:b6:b6
52,2025-05-07 18:56:52.022952,38,f0:57:a6:a6:b6:b6
53,2025-05-07 18:56:52.024539,38,f0:57:a6:a6:b6:b6
54,2025-05-07 18:56:52.025065,38,f0:57:a6:a6:b6:b6
55,2025-05-07 18:56:52.028789,38,f0:57:a6:a6:b6:b6
56,2025-05-07 18:56:52.029054,80,f0:57:a6:a6:b6:b6
57,2025-05-07 18:56:52.032990,38,f0:57:a6:a6:b6:b6
58,2025-05-07 18:56:52.033124,80,f0:57:a6:a6:b6:b6
59,2025-05-07 18:56:52.034232,38,f0:57:a6:a6:b6:b6
60,2025-05-07 18:56:52.034325,38,f0:57:a6:a6:b6:b6
61,2025-05-07 18:56:52.034652,38,f0:57:a6:a6:b6:b6
62,2025-05-07 18:56:52.034746,38,f0:57:a6:a6:b6:b6
63,2025-05-07 18:56:52.035324,38,f0:57:a6:a6:b6:b6
64,2025-05-07 18:56:52.035562,38,f0:57:a6:a6:b6:b6
65,2025-05-07 18:56:52.035745,38,f0:57:a6:a6:b6:b6
66,2025-05-07 18:56:52.036934,80,f0:57:a6:a6:b6:b6
67,2025-05-07 18:56:52.038739,38,f0:57:a6:a6:b6:b6
68,2025-05-07 18:56:52.038881,80,f0:57:a6:a6:b6:b6
69,2025-05-07 18:56:52.040198,38,f0:57:a6:a6:b6:b6
70,2025-05-07 18:56:52.040334,80,f0:57:a6:a6:b6:b6
71,2025-05-07 18:56:52.040509,38,f0:57:a6:a6:b6:b6
72,2025-05-07 18:56:52.040607,38,f0:57:a6:a6:b6:b6
73,2025-05-07 18:56:52.040790,38,f0:57:a6:a6:b6:b6
74,2025-05-07 18:56:52.040934,80,f0:57:a6:a6:b6:b6
75,2025-05-07 18:56:52.044292,38,f0:57:a6:a6:b6:b6
76,2025-05-07 18:56:52.044378,38,f0:57:a6:a6:b6:b6
77,2025-05-07 18:56:52.051899,38,f0:57:a6:a6:b6:b6
78,2025-05-07 18:56:52.052158,38,f0:57:a6:a6:b6:b6
79,2025-05-07 18:56:52.056642,38,f0:57:a6:a6:b6:b6
80,2025-05-07 18:56:52.056727,38,f0:57:a6:a6:b6:b6
81,2025-05-07 18:56:52.057106,38,f0:57:a6:a6:b6:b6
82,2025-05-07 18:56:52.057252,80,f0:57:a6:a6:b6:b6
83,2025-05-07 18:56:52.067642,38,f0:57:a6:a6:b6:b6
84,2025-05-07 18:56:52.067728,38,f0:57:a6:a6:b6:b6
85,2025-05-07 18:56:52.068842,38,f0:57:a6:a6:b6:b6
86,2025-05-07 18:56:52.068928,38,f0:57:a6:a6:b6:b6
87,2025-05-07 18:56:52.070007,38,f0:57:a6:a6:b6:b6
88,2025-05-07 18:56:52.070142,80,f0:57:a6:a6:b6:b6
89,2025-05-07 18:56:52.075518,38,f0:57:a6:a6:b6:b6
90,2025-05-07 18:56:52.075588,38,f0:57:a6:a6:b6:b6
91,2025-05-07 18:56:52.081382,38,f0:57:a6:a6:b6:b6
92,2025-05-07 18:56:52.081452,38,f0:57:a6:a6:b6:b6
93,2025-05-07 18:56:52.090562,38,f0:57:a6:a6:b6:b6
94,2025-05-07 18:56:52.090634,38,f0:57:a6:a6:b6:b6
95,2025-05-07 18:56:52.091472,38,f0:57:a6:a6:b6:b6
96,2025-05-07 18:56:52.091788,80,f0:57:a6:a6:b6:b6
97,2025-05-07 18:56:52.093981,38,f0:57:a6:a6:b6:b6
98,2025-05-07 18:56:52.094606,38,f0:57:a6:a6:b6:b6
99,2025-05-07 18:56:52.094926,80,f0:57:a6:a6:b6:b6
100,2025-05-07 18:56:52.096288,38,f0:57:a6:a6:b6:b6
101,2025-05-07 18:56:52.096469,38,f0:57:a6:a6:b6:b6
102,2025-05-07 18:56:52.127089,38,f0:57:a6:a6:b6:b6
103,2025-05-07 18:56:52.127409,38,f0:57:a6:a6:b6:b6
104,2025-05-07 18:56:52.127660,38,f0:57:a6:a6:b6:b6
105,2025-05-07 18:56:52.128160,38,f0:57:a6:a6:b6:b6
106,2025-05-07 18:56:52.128230,38,f0:57:a6:a6:b6:b6
107,2025-05-07 18:56:52.137509,38,f0:57:a6:a6:b6:b6
108,2025-05-07 18:56:52.137731,80,f0:57:a6:a6:b6:b6
109,2025-05-07 18:56:52.141601,38,f0:57:a6:a6:b6:b6
110,2025-05-07 18:56:52.141985,80,f0:57:a6:a6:b6:b6
111,2025-05-07 18:56:52.143536,38,f0:57:a6:a6:b6:b6
112,2025-05-07 18:56:52.143717,38,f0:57:a6:a6:b6:b6
113,2025-05-07 18:56:52.143857,38,f0:57:a6:a6:b6:b6
114,2025-05-07 18:56:52.143967,80,f0:57:a6:a6:b6:b6
115,2025-05-07 18:56:52.144595,38,f0:57:a6:a6:b6:b6
116,2025-05-07 18:56:52.144930,80,f0:57:a6:a6:b6:b6
117,2025-05-07 18:56:52.145177,38,f0:57:a6:a6:b6:b6
118,2025-05-07 18:56:52.145287,80,f0:57:a6:a6:b6:b6
119,2025-05-07 18:56:52.147746,38,f0:57:a6:a6:b6:b6
120,2025-05-07 18:56:52.148069,80,f0:57:a6:a6:b6:b6
121,2025-05-07 18:56:52.152193,38,f0:57:a6:a6:b6:b6
122,2025-05-07 18:56:52.152414,80,f0:57:a6:a6:b6:b6
123,2025-05-07 18:56:52.155328,38,f0:57:a6:a6:b6:b6
124,2025-05-07 18:56:52.155398,38,f0:57:a6:a6:b6:b6
125,2025-05-07 18:56:52.156085,38,f0:57:a6:a6:b6:b6
126,2025-05-07 18:56:52.156155,38,f0:57:a6:a6:b6:b6
127,2025-05-07 18:56:52.169294,38,f0:57:a6:a6:b6:b6
128,2025-05-07 18:56:52.169789,38,f0:57:a6:a6:b6:b6
129,2025-05-07 18:56:52.169866,38,f0:57:a6:a6:b6:b6
130,2025-05-07 18:56:52.170226,38,f0:57:a6:a6:b6:b6
