,timestamp,length,ra
0,2025-03-18 17:27:25.724319,28,84:1b:77:6b:d5:3c
1,2025-03-18 17:27:25.724544,28,84:1b:77:6b:d5:3c
2,2025-03-18 17:27:25.724650,28,84:1b:77:6b:d5:3c
3,2025-03-18 17:27:25.725029,34,84:1b:77:6b:d5:3c
4,2025-03-18 17:27:25.725555,28,84:1b:77:6b:d5:3c
5,2025-03-18 17:27:25.725907,34,84:1b:77:6b:d5:3c
6,2025-03-18 17:27:25.728681,28,84:1b:77:6b:d5:3c
7,2025-03-18 17:27:25.730114,28,84:1b:77:6b:d5:3c
8,2025-03-18 17:27:25.730407,46,84:1b:77:6b:d5:3c
9,2025-03-18 17:27:25.734287,34,84:1b:77:6b:d5:3c
10,2025-03-18 17:27:25.734930,34,84:1b:77:6b:d5:3c
11,2025-03-18 17:27:25.735343,28,84:1b:77:6b:d5:3c
12,2025-03-18 17:27:25.735636,46,84:1b:77:6b:d5:3c
13,2025-03-18 17:27:25.739801,34,84:1b:77:6b:d5:3c
14,2025-03-18 17:27:25.740556,28,84:1b:77:6b:d5:3c
15,2025-03-18 17:27:25.740697,28,84:1b:77:6b:d5:3c
16,2025-03-18 17:27:25.747797,34,84:1b:77:6b:d5:3c
17,2025-03-18 17:27:25.750042,28,84:1b:77:6b:d5:3c
18,2025-03-18 17:27:25.767316,28,84:1b:77:6b:d5:3c
19,2025-03-18 17:27:25.767514,28,84:1b:77:6b:d5:3c
20,2025-03-18 17:27:25.769659,34,84:1b:77:6b:d5:3c
21,2025-03-18 17:27:25.771550,34,84:1b:77:6b:d5:3c
22,2025-03-18 17:27:25.775313,34,84:1b:77:6b:d5:3c
23,2025-03-18 17:27:25.775888,34,84:1b:77:6b:d5:3c
24,2025-03-18 17:27:25.776496,34,84:1b:77:6b:d5:3c
25,2025-03-18 17:27:25.776860,34,84:1b:77:6b:d5:3c
26,2025-03-18 17:27:25.778560,28,84:1b:77:6b:d5:3c
27,2025-03-18 17:27:25.778802,46,84:1b:77:6b:d5:3c
28,2025-03-18 17:27:25.782040,28,84:1b:77:6b:d5:3c
29,2025-03-18 17:27:25.782248,46,84:1b:77:6b:d5:3c
30,2025-03-18 17:27:25.785585,34,84:1b:77:6b:d5:3c
31,2025-03-18 17:27:25.785831,34,84:1b:77:6b:d5:3c
32,2025-03-18 17:27:25.786131,34,84:1b:77:6b:d5:3c
