,timestamp,length,ra
0,2025-05-07 18:53:20.721429,38,f0:57:a6:a6:b6:b6
1,2025-05-07 18:53:20.721506,38,f0:57:a6:a6:b6:b6
2,2025-05-07 18:53:20.721660,38,f0:57:a6:a6:b6:b6
3,2025-05-07 18:53:20.721737,38,f0:57:a6:a6:b6:b6
4,2025-05-07 18:53:20.723490,38,f0:57:a6:a6:b6:b6
5,2025-05-07 18:53:20.723574,38,f0:57:a6:a6:b6:b6
6,2025-05-07 18:53:20.723974,38,f0:57:a6:a6:b6:b6
7,2025-05-07 18:53:20.724214,80,f0:57:a6:a6:b6:b6
8,2025-05-07 18:53:20.724378,38,f0:57:a6:a6:b6:b6
9,2025-05-07 18:53:20.724510,80,f0:57:a6:a6:b6:b6
10,2025-05-07 18:53:20.739624,38,f0:57:a6:a6:b6:b6
11,2025-05-07 18:53:20.739745,80,f0:57:a6:a6:b6:b6
12,2025-05-07 18:53:20.767157,38,f0:57:a6:a6:b6:b6
13,2025-05-07 18:53:20.767235,38,f0:57:a6:a6:b6:b6
14,2025-05-07 18:53:20.793567,38,f0:57:a6:a6:b6:b6
15,2025-05-07 18:53:20.793783,38,f0:57:a6:a6:b6:b6
16,2025-05-07 18:53:20.817816,38,f0:57:a6:a6:b6:b6
17,2025-05-07 18:53:20.818100,80,f0:57:a6:a6:b6:b6
18,2025-05-07 18:53:20.818262,38,f0:57:a6:a6:b6:b6
19,2025-05-07 18:53:20.818407,80,f0:57:a6:a6:b6:b6
20,2025-05-07 18:53:20.861793,38,f0:57:a6:a6:b6:b6
21,2025-05-07 18:53:20.861878,38,f0:57:a6:a6:b6:b6
22,2025-05-07 18:53:20.894145,38,f0:57:a6:a6:b6:b6
23,2025-05-07 18:53:20.894231,38,f0:57:a6:a6:b6:b6
24,2025-05-07 18:53:20.895441,38,f0:57:a6:a6:b6:b6
25,2025-05-07 18:53:20.895527,38,f0:57:a6:a6:b6:b6
26,2025-05-07 18:53:20.896946,38,f0:57:a6:a6:b6:b6
27,2025-05-07 18:53:20.897031,38,f0:57:a6:a6:b6:b6
28,2025-05-07 18:53:20.902779,38,f0:57:a6:a6:b6:b6
29,2025-05-07 18:53:20.902918,80,f0:57:a6:a6:b6:b6
30,2025-05-07 18:53:20.903221,38,f0:57:a6:a6:b6:b6
31,2025-05-07 18:53:20.903355,80,f0:57:a6:a6:b6:b6
32,2025-05-07 18:53:20.952258,38,f0:57:a6:a6:b6:b6
33,2025-05-07 18:53:20.952347,38,f0:57:a6:a6:b6:b6
34,2025-05-07 18:53:20.981789,38,f0:57:a6:a6:b6:b6
35,2025-05-07 18:53:20.982032,80,f0:57:a6:a6:b6:b6
36,2025-05-07 18:53:20.982307,38,f0:57:a6:a6:b6:b6
37,2025-05-07 18:53:20.982427,80,f0:57:a6:a6:b6:b6
38,2025-05-07 18:53:21.014716,38,f0:57:a6:a6:b6:b6
39,2025-05-07 18:53:21.014792,38,f0:57:a6:a6:b6:b6
40,2025-05-07 18:53:21.067302,38,f0:57:a6:a6:b6:b6
41,2025-05-07 18:53:21.067376,38,f0:57:a6:a6:b6:b6
42,2025-05-07 18:53:21.094701,38,f0:57:a6:a6:b6:b6
43,2025-05-07 18:53:21.094821,80,f0:57:a6:a6:b6:b6
44,2025-05-07 18:53:21.097607,38,f0:57:a6:a6:b6:b6
45,2025-05-07 18:53:21.098015,80,f0:57:a6:a6:b6:b6
46,2025-05-07 18:53:21.131994,38,f0:57:a6:a6:b6:b6
47,2025-05-07 18:53:21.132072,38,f0:57:a6:a6:b6:b6
48,2025-05-07 18:53:21.136089,38,f0:57:a6:a6:b6:b6
49,2025-05-07 18:53:21.140864,38,f0:57:a6:a6:b6:b6
50,2025-05-07 18:53:21.140988,80,f0:57:a6:a6:b6:b6
51,2025-05-07 18:53:21.144983,38,f0:57:a6:a6:b6:b6
52,2025-05-07 18:53:21.145105,80,f0:57:a6:a6:b6:b6
53,2025-05-07 18:53:21.161539,38,f0:57:a6:a6:b6:b6
54,2025-05-07 18:53:21.161782,80,f0:57:a6:a6:b6:b6
55,2025-05-07 18:53:21.161938,38,f0:57:a6:a6:b6:b6
56,2025-05-07 18:53:21.162059,80,f0:57:a6:a6:b6:b6
57,2025-05-07 18:53:21.163436,38,f0:57:a6:a6:b6:b6
58,2025-05-07 18:53:21.166374,38,f0:57:a6:a6:b6:b6
59,2025-05-07 18:53:21.166450,38,f0:57:a6:a6:b6:b6
60,2025-05-07 18:53:21.170453,38,f0:57:a6:a6:b6:b6
61,2025-05-07 18:53:21.170706,80,f0:57:a6:a6:b6:b6
62,2025-05-07 18:53:21.170986,38,f0:57:a6:a6:b6:b6
63,2025-05-07 18:53:21.171106,80,f0:57:a6:a6:b6:b6
64,2025-05-07 18:53:21.187949,38,f0:57:a6:a6:b6:b6
65,2025-05-07 18:53:21.188192,80,f0:57:a6:a6:b6:b6
66,2025-05-07 18:53:21.188347,38,f0:57:a6:a6:b6:b6
