count,length,timestamp,avg_length,time_interval
177,5418,2025-03-18 10:47:02,30.610169491525422,1
117,3396,2025-03-18 10:47:03,29.025641025641026,1
109,3064,2025-03-18 10:47:04,28.110091743119266,1
286,9178,2025-03-18 10:47:05,32.09090909090909,1
435,14238,2025-03-18 10:47:06,32.73103448275862,1
337,10936,2025-03-18 10:47:07,32.45103857566765,1
108,3156,2025-03-18 10:47:08,29.22222222222222,1
153,4560,2025-03-18 10:47:09,29.80392156862745,1
210,6486,2025-03-18 10:47:10,30.885714285714286,1
23,722,2025-03-18 10:47:11,31.391304347826086,1
