count,length,timestamp,avg_length,time_interval
20,802,2025-05-07 19:06:45,40.1,1
14,574,2025-05-07 19:06:46,41.0,1
120,5400,2025-05-07 19:06:47,45.0,1
21,924,2025-05-07 19:06:48,44.0,1
40,1772,2025-05-07 19:06:49,44.3,1
144,6690,2025-05-07 19:06:50,46.458333333333336,1
16,734,2025-05-07 19:06:52,45.875,1
30,1266,2025-05-07 19:06:53,42.2,1
97,4358,2025-05-07 19:06:54,44.92783505154639,1
21,840,2025-05-07 19:06:55,40.0,1
133,6020,2025-05-07 19:06:56,45.26315789473684,1
17,772,2025-05-07 19:06:57,45.411764705882355,1
34,1460,2025-05-07 19:06:58,42.94117647058823,1
13,536,2025-05-07 19:06:59,41.23076923076923,1
2,76,2025-05-07 19:07:00,38.0,1
