count,length,timestamp,avg_length,time_interval
93,2646,2025-05-07 16:12:21,28.451612903225808,1
161,4634,2025-05-07 16:12:22,28.782608695652176,1
151,4270,2025-05-07 16:12:23,28.278145695364238,1
121,3472,2025-05-07 16:12:24,28.694214876033058,1
135,3864,2025-05-07 16:12:25,28.622222222222224,1
133,3766,2025-05-07 16:12:26,28.31578947368421,1
123,3486,2025-05-07 16:12:27,28.341463414634145,1
127,3682,2025-05-07 16:12:28,28.992125984251967,1
135,3948,2025-05-07 16:12:29,29.244444444444444,1
117,3402,2025-05-07 16:12:30,29.076923076923077,1
113,3164,2025-05-07 16:12:31,28.0,1
149,4256,2025-05-07 16:12:32,28.563758389261746,1
148,4228,2025-05-07 16:12:33,28.56756756756757,1
143,4130,2025-05-07 16:12:34,28.88111888111888,1
129,3738,2025-05-07 16:12:35,28.976744186046513,1
152,4592,2025-05-07 16:12:36,30.210526315789473,1
86,2408,2025-05-07 16:12:37,28.0,1
