count,length,timestamp,avg_length,time_interval
120,3714,2025-03-18 16:15:59,30.95,1
351,10830,2025-03-18 16:16:00,30.854700854700855,1
340,10402,2025-03-18 16:16:01,30.594117647058823,1
318,9588,2025-03-18 16:16:02,30.150943396226417,1
198,5736,2025-03-18 16:16:03,28.96969696969697,1
290,8726,2025-03-18 16:16:04,30.089655172413792,1
337,10210,2025-03-18 16:16:05,30.29673590504451,1
323,9878,2025-03-18 16:16:06,30.58204334365325,1
266,8156,2025-03-18 16:16:07,30.661654135338345,1
165,4716,2025-03-18 16:16:08,28.581818181818182,1
