count,length,timestamp,avg_length,time_interval
20,602,2025-03-18 13:50:54,30.1,1
306,9588,2025-03-18 13:50:55,31.333333333333332,1
309,9828,2025-03-18 13:50:56,31.805825242718445,1
397,12646,2025-03-18 13:50:57,31.85390428211587,1
461,14978,2025-03-18 13:50:58,32.490238611713664,1
47,1406,2025-03-18 13:50:59,29.914893617021278,1
219,6888,2025-03-18 13:51:00,31.45205479452055,1
46,1360,2025-03-18 13:51:01,29.565217391304348,1
134,4142,2025-03-18 13:51:02,30.91044776119403,1
111,3672,2025-03-18 13:51:03,33.08108108108108,1
