count,length,timestamp,avg_length,time_interval
83,2408,2025-05-07 17:27:53,29.012048192771083,1
134,3752,2025-05-07 17:27:54,28.0,1
127,3682,2025-05-07 17:27:55,28.992125984251967,1
128,3584,2025-05-07 17:27:56,28.0,1
142,4018,2025-05-07 17:27:57,28.295774647887324,1
119,3374,2025-05-07 17:27:58,28.352941176470587,1
123,3444,2025-05-07 17:27:59,28.0,1
109,3052,2025-05-07 17:28:00,28.0,1
115,3262,2025-05-07 17:28:01,28.36521739130435,1
131,3710,2025-05-07 17:28:02,28.3206106870229,1
123,3444,2025-05-07 17:28:03,28.0,1
131,3710,2025-05-07 17:28:04,28.3206106870229,1
132,3696,2025-05-07 17:28:05,28.0,1
132,3696,2025-05-07 17:28:06,28.0,1
124,3514,2025-05-07 17:28:07,28.338709677419356,1
111,3150,2025-05-07 17:28:08,28.37837837837838,1
128,3668,2025-05-07 17:28:09,28.65625,1
120,3486,2025-05-07 17:28:10,29.05,1
131,3668,2025-05-07 17:28:11,28.0,1
92,2618,2025-05-07 17:28:12,28.456521739130434,1
