count,length,timestamp,avg_length,time_interval
82,2320,2025-03-18 11:12:57,28.29268292682927,1
107,3080,2025-03-18 11:12:58,28.785046728971963,1
120,3408,2025-03-18 11:12:59,28.4,1
102,2928,2025-03-18 11:13:00,28.705882352941178,1
97,2740,2025-03-18 11:13:01,28.24742268041237,1
137,4052,2025-03-18 11:13:02,29.576642335766422,1
111,3216,2025-03-18 11:13:03,28.972972972972972,1
103,2884,2025-03-18 11:13:04,28.0,1
107,3032,2025-03-18 11:13:05,28.33644859813084,1
98,2798,2025-03-18 11:13:06,28.551020408163264,1
102,2892,2025-03-18 11:13:07,28.352941176470587,1
117,3330,2025-03-18 11:13:08,28.46153846153846,1
105,3018,2025-03-18 11:13:09,28.742857142857144,1
115,3244,2025-03-18 11:13:10,28.208695652173912,1
108,3102,2025-03-18 11:13:11,28.72222222222222,1
96,2802,2025-03-18 11:13:12,29.1875,1
113,3182,2025-03-18 11:13:13,28.15929203539823,1
66,1884,2025-03-18 11:13:14,28.545454545454547,1
