count,length,timestamp,avg_length,time_interval
288,8778,2025-03-18 13:41:02,30.479166666666668,1
365,11186,2025-03-18 13:41:03,30.646575342465752,1
351,10746,2025-03-18 13:41:04,30.615384615384617,1
352,10738,2025-03-18 13:41:05,30.505681818181817,1
201,5832,2025-03-18 13:41:06,29.01492537313433,1
247,7162,2025-03-18 13:41:07,28.995951417004047,1
287,8522,2025-03-18 13:41:08,29.693379790940767,1
308,9458,2025-03-18 13:41:09,30.707792207792206,1
365,11006,2025-03-18 13:41:10,30.153424657534245,1
350,10562,2025-03-18 13:41:11,30.177142857142858,1
238,6934,2025-03-18 13:41:12,29.134453781512605,1
217,6232,2025-03-18 13:41:13,28.71889400921659,1
111,3246,2025-03-18 13:41:14,29.243243243243242,1
