count,length,timestamp,avg_length,time_interval
25,700,2025-05-07 17:13:26,28.0,1
120,3360,2025-05-07 17:13:27,28.0,1
116,3248,2025-05-07 17:13:28,28.0,1
125,3584,2025-05-07 17:13:29,28.672,1
128,3710,2025-05-07 17:13:30,28.984375,1
132,3738,2025-05-07 17:13:31,28.318181818181817,1
140,4004,2025-05-07 17:13:32,28.6,1
143,4088,2025-05-07 17:13:33,28.587412587412587,1
127,3598,2025-05-07 17:13:34,28.330708661417322,1
132,3738,2025-05-07 17:13:35,28.318181818181817,1
128,3626,2025-05-07 17:13:36,28.328125,1
126,3528,2025-05-07 17:13:37,28.0,1
137,3878,2025-05-07 17:13:38,28.306569343065693,1
193,5656,2025-05-07 17:13:39,29.305699481865286,1
121,3388,2025-05-07 17:13:40,28.0,1
118,3346,2025-05-07 17:13:41,28.35593220338983,1
139,4018,2025-05-07 17:13:42,28.906474820143885,1
142,3976,2025-05-07 17:13:43,28.0,1
23,644,2025-05-07 17:13:44,28.0,1
